,id,topic,keywords
35,35,None,"['Integer linear program', 'Convex programming', 'Convex optimization', 'Optimization', 'Integer Programming', 'Constraint optimization', 'Semidefinite programming', 'Linear Programming', 'Mixed integer linear programming', 'Optimisation', 'Integer linear programming', 'Multiobjective optimization', 'Nonlinear programming', 'Constrained optimization', 'Optimization problem', 'Quadratic programming', 'Mixed integer programming']"
36,36,None,"['Data sharing', 'Computer Society', 'High Performance Computing', 'routers', 'Reverse Engineering', 'Data centers', 'cache', 'multithreading', 'smartgrids', 'Grid Computing', 'Social Networks', 'Network dynamics', 'Mathematical Programming', 'Mobile cloud', 'Datacenter', 'Network tomography', 'Data Center', 'IEEE Transactions', 'protocols', 'Interoperability', 'sram', 'multihop', 'NIST', 'Services computing', 'multiprocessors', 'Computer science education', 'Smart Home', 'Internet of things', 'Scalability', 'iot', 'IEEE', 'Implementation', 'Service composition', 'bandwidth', 'Internet Topology', 'Computer Networks', 'protocol', 'Human Performance', 'router', 'tcp', 'Differentiated service', 'prefetching', 'caching', 'Mobile Cloud Computing']"
37,37,None,"['Signal to noise ratio', 'Spatial resolution', 'Dynamic range', 'Image sensors', 'Optical devices', 'Image resolution', 'Color', 'lenses', 'Liquid crystal displays', 'Cameras', 'Computer Displays', 'Mirrors', 'Distance measurement', 'Brightness', 'Apertures', 'Pixel', 'Displays']"
38,38,None,"['Computer Games', 'Game Based Learning', 'Game AI', 'Video Games', 'Board Games', 'Intelligent tutoring systems', 'Intelligent Systems', 'Video Game', 'Multiplayer Games', 'Procedural content generation', 'Games', 'Particle Systems', 'Games of skill', 'General Game Playing', 'Game', 'Game Design']"
39,39,None,"['Light scattering', 'Molecular configuration', 'Lab on a chip', 'Mass Spectroscopy', 'Isosurface', 'Biomarker discovery', 'Optical imaging', 'Distribution functions', 'Microscopy', 'Kinetic Theory', 'Energy minimization', 'Density Functional Theory', 'Entropy', 'biomembranes', 'Electrostatics', 'Magnetic domains', 'Magnetization', 'Flow visualization', 'Scattering', 'Radiation detector', 'Surface reconstruction', 'Mass Spectrometry', 'Flow visualisation', 'Diffusion Tensor Imaging', 'Magnetoelectric effect']"
40,40,None,"['Software Engineering', 'Hardware architecture', 'Fault detection', 'System design', 'System architecture', 'Virtual prototyping', 'Process Design', 'Software reliability', 'Software performance', 'Dependability', 'Fault tolerant systems', 'Failure Analysis', 'System testing', 'Capacity planning', 'Process Control', 'Robustness', 'Software Systems', 'Signal integrity', 'Software Design', 'Condition Monitoring', 'Automatic Test Pattern Generation', 'Fault coverage', 'Availability', 'Reliability Engineering', 'Fault Tolerance', 'Byzantine Fault Tolerance', 'Software Architecture', 'Design Automation', 'Software Testing', 'Fault injection', 'Static timing analysis', 'Manufacturing processes']"
41,41,None,"['Data encryption', 'Elliptic Curve Cryptography', 'Secret sharing', 'Ciphers', 'Cryptography', 'Cryptographic protocols', 'Security protocol', 'Public key', 'Homomorphic Encryption', 'Traffic analysis', 'Cryptanalysis', 'Encryption', 'Public Key Cryptography', 'Digital signatures', 'Identity based encryption', 'Attribute based encryption']"
42,42,None,"['Online social networks', 'Electronic Publishing', 'Blogs', 'Social Network', 'Video sharing', 'Video streaming', 'Web Sites', 'Facebook', 'Video On Demand', 'World Wide Web', 'Social Networking', 'Social Network Services', 'Google', 'Internet', 'Streaming Media', 'Subscriptions', 'Search Engines', 'Twitter', 'Web search', 'Electronic Mail']"
43,43,None,"['Smart meters', 'Power demand', 'Energy Harvesting', 'Energy saving', 'Smart Grid', 'Load management', 'Energy Storage', 'Energy Conservation', 'Renewable energy sources', 'Power grids', 'Power saving', 'Electricity', 'Energy consumption', 'Power Generation', 'Distributed network', 'Power distribution']"
44,44,None,"['Gaussian Processes', 'Convex functions', 'Covariance matrix', 'Random processes', 'Markov Processes', 'Statistical distributions', 'Markov Chain', 'Brownian Motion', 'Stochastic Processes', 'Markov Chains', 'Exponential distribution', 'Stochastic systems', 'Random walk', 'Probability Density Function', 'Probability Distribution', 'Random walks', 'Covariance matrices', 'Random variables']"
